id;relation;entity1;id1;entity2;id2
0;..;322;Maracanã;24;Dilma
1;..;6;Brasília;24;Dilma
2;..;299;gaúcha;5680;Dilma
3;..;1207;senador Ricardo Ferraço;7874;Dilma Rousseff
4;>> encaminhamento;1999;Dilma;510;Lewandowski
5;>> encaminhamento;4394;Dilma;510;Lewandowski
6;>> encaminhamento;1290;Dilma;510;Lewandowski
7;abrir imepachment;1412;Cunha;10224;Dilma Rousseff.
8;abrir impeachment;1413;Suíça;1409;Dilma Rousseff.
9;abrir impeachment;18;Senado;7874;Dilma
10;abrir impeachment;1413;Suíça;10305;Dilma Rousseff.
11;aceitado indicação;2913;Moro;4394;Dilma
12;aceitou afastamento;82;Eduardo Cunha;5680;Dilma
13;aceitou impeachment;82;Eduardo Cunha;24;Dilma
14;aceitou impeachment;82;Eduardo Cunha;10305;Dilma
15;acho decisão;7874;Dilma;305;Gilmar Mendes
16;acionado;7874;Dilma;211;STF
17;acolheu ação;202;Porto Alegre;7296;Dilma
18;acolheu impeachment;1412;Cunha;10305;Dilma
19;acolhidos contas;10305;Dilma;6;Brasil
20;acompanhar depoimento;6;Brasília;10305;Dilma
21;acompanhar depoimento.;1469;presidente Lula;11367;Dilma
22;acompanharem defesa;14;República;1999;Dilma
23;acompanharem defesa;3362;República;4394;Dilma
24;acompanharem defesa;5959;intermediária;4394;Dilma
25;acontecer;10224;Dilma Rousseff;10224;Dilma
26;acreditam;109;Ricardo Lewandowski;24;Dilma
27;acrescenta;4394;Dilma;1216;Sérgio Moro
28;acrescentou advogado;14;República;24;Dilma.
29;acusar presidente;5680;Dilma;15;Câmara
30;acusou;1412;Cunha;7874;Dilma
31;adotadas afirmou;1082;senhor;4394;Dilma.
32;afastada;1082;senhora presidente;1999;Dilma Rousseff
33;afastada;3362;República;5680;Dilma Rousseff
34;afastada comando;4394;Dilma;134;Palácio
35;afastada comando;5680;Dilma;134;Palácio
36;afastada comando;7874;Dilma Rousseff;134;Palácio
37;afastada enfrenta;4;Dilma;80;Congresso Nacional.
38;afastada funções;21;Casa;24;Dilma
39;afastada funções;21;Casa;1999;Dilma
40;afastada funções;21;Casa;7296;Dilma
41;afastada funções;21;Casa;10224;Dilma
42;afastada presidência;1999;Dilma;18;Senado
43;afastada presidência;4394;Dilma Rousseff;3362;República
44;afastada razão;7874;Dilma;18;Senado
45;afastar;18;Senado;1999;Dilma Rousseff
46;afastar;135;Planalto;1999;Dilma
47;afastar;271;Dilma;97;Presidência
48;afastar;18;Senado;7874;Dilma
49;afastar;18;Senado;10305;Dilma Rousseff
50;afastar presidente;18;Senado;4394;Dilma Rousseff
51;afastou presidente;18;Senado;7874;Dilma Rousseff
52;afirma;1082;senhora presidente Dilma;1248;senador Jorge Viana
53;afirma;4908;Guardian;4394;Dilma
54;afirma;7874;Dilma;771;Mota. Cidinho
55;afirma;6806;Norte;7874;Dilma
56;afirma;404;Anastasia;7874;Dilma
57;afirma impeachment;101;Lava Jato;5680;Dilma
58;afirma presidente;8252;senador;7874;Dilma Rousseff
59;afirmam governo;1409;Dilma;1067;Michel Temer
60;afirmar gestão;939;Ana Amélia Lemos;4394;Dilma Rousseff
61;afirmar metade;1999;Dilma;18;Senado
62;afirmar metade;7874;Dilma;18;Senado
63;afirmou;365;Oliveira;24;Dilma
64;afirmou;2886;Lindbergh;271;Dilma Rousseff
65;afirmou;203;Polícia Federal;4394;Dilma
66;afirmou;3103;Aécio;5680;Dilma
67;afirmou;5680;Dilma;1067;Michel Temer
68;afirmou;404;Anastasia;10305;Dilma
69;afirmou;1745;Cardozo;10305;Dilma
70;afirmou;10305;Dilma;1022;Cerveró
71;afirmou atos;2220;ávila;4394;gestão Dilma Rousseff
72;afirmou atos;2220;ávila;10305;gestão Dilma Rousseff
73;afirmou condenação;2197;Geraldo Prado;4394;Dilma
74;afirmou destituição;2638;Samper;1999;Dilma
75;afirmou destituição;561;Ernesto Samper;10305;Dilma
76;afirmou discurso;8;RJ;24;Dilma
77;afirmou entrevista;10305;Dilma Rousseff;9588;TV Brasil
78;afirmou nota;10305;Dilma;314;TSE
79;afrontar;7874;Dilma;235;Lei
80;agia ordens;1021;Delcídio;5680;Dilma
81;agilizar afastamento;18;Senado;7874;Dilma
82;aguarda decisão;10305;Dilma;18;Senado
83;aguardar julgamento;806;China;11367;Dilma.
84;aguardaram chegada;135;Planalto;4394;Dilma.
85;ajudar;297;Alvorada;1999;Dilma
86;ajudar;10305;Dilma Rousseff;1412;Cunha
87;ajudará;75;José Eduardo Cardozo;10305;Dilma
88;ajudará exercício;4394;Dilma;1067;Michel Temer
89;ajudei;1067;Michel;4394;Dilma
90;ajuizada presidente;515;desembargador;14;República Dilma Rousseff
91;alcançada leis;4;presidente Dilma;101;Lava Jato
92;alegados afastar;5611;Brasil;5680;Dilma
93;alegaram;10305;Dilma;82;Eduardo Cunha
94;aliados governo;762;PDT;7874;Dilma
95;aliviar pena;4964;PT;10305;Dilma Rousseff
96;amenizou crise;24;Dilma Rousseff;476;Brasil
97;analisar governo;272;União;7874;Dilma
98;andar bicicleta;271;Dilma Rousseff;119;Zona Sul
99;andou;24;Dilma;15;Câmara
100;andou orla;5680;Dilma Rousseff;444;Guaíba
101;andou orla;10305;Dilma Rousseff;444;Guaíba
102;antecipado julgamento;1067;Michel Temer;24;Dilma.
103;antecipado julgamento;7821;Michel Temer;11367;Dilma.
104;anular decisão;4;presidente Dilma;18;Senado
105;anular impeachment;15;Câmara;24;Dilma Rousseff. MP
106;anular presidente;211;STF;10305;Dilma Rousseff
107;anunciado governo;3661;Medeiros;10305;Dilma
108;anunciado pagamento;5680;Dilma Rousseff;7351;13º
109;anunciou deputado;5680;Dilma Rousseff;6863;Wadih Damous
110;ao;24;Dilma;18;Senado
111;ao;1999;Dilma;80;Congresso
112;ao;1999;Dilma;2834;interrogála
113;ao;1999;Dilma;3466;garçom
114;ao;1999;Dilma;18;Senado
115;ao;4394;Dilma;18;Senado
116;ao;5680;Dilma;18;Senado
